puddle_id,example_id,annotated_texts
151,1,"Verse 12: Then they returned to Jerusalem from the mountain called Olivet, which is near Jerusalem, a Sabbath day's journey away.᛫Verse 12: Then returned they unto Jerusalem from the mount called Olivet, which is from Jerusalem a sabbath day's journey."
151,10,"Verse 20: For it is written in the book of Psalms, 'Let his habitation be made desolate. Let no one dwell therein;' and, 'Let another take his office.'᛫Verse 20: For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take."
151,100,"Verse 5: It happened in the morning, that their rulers, elders, and scribes were gathered together in Jerusalem.᛫Verse 5: And it came to pass on the morrow, that their rulers, and elders, and scribes,"
151,1000,"Verse 9: But Festus, desiring to gain favor with the Jews, answered Paul and said, ""Are you willing to go up to Jerusalem, and be judged by me there concerning these things?""᛫Verse 9: But Festus, willing to do the Jews a pleasure, answered Paul, and said, Wilt thou go up to Jerusalem, and there be judged of these things before me?"
151,10001,"Verse 4: For God commanded, 'Honor your father and your mother,' and, 'He who speaks evil of father or mother, let him be put to death.'᛫Verse 4: For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death."
151,10004,"Verse 5: But you say, 'Whoever may tell his father or his mother, ""Whatever help you might otherwise have gotten from me is a gift devoted to God,""᛫Verse 5: But ye say, Whosoever shall say to his father or his mother, It is a gift, by whatsoever thou mightest be profited by me;"
151,10007,"Verse 6: he shall not honor his father or mother.' You have made the commandment of God void because of your tradition.᛫Verse 6: And honour not his father or his mother, he shall be free. Thus have ye made the commandment of God of none effect by your tradition."
151,10008,"Verse 5: Becoming terrified, they bowed their faces down to the earth. They said to them, ""Why do you seek the living among the dead?᛫Verse 5: And as they were afraid, and bowed down their faces to the earth, they said unto them, Why seek ye the living among the dead?"
151,10009,"Verse 7: You hypocrites! Well did Isaiah prophesy of you, saying,᛫Verse 7: Ye hypocrites, well did Esaias prophesy of you, saying,"
151,1001,"Verse 10: But Paul said, ""I am standing before Caesar's judgment seat, where I ought to be tried. I have done no wrong to the Jews, as you also know very well.᛫Verse 10: Then said Paul, I stand at Caesar's judgment seat, where I ought to be judged: to the Jews have I done no wrong, as thou very well knowest."
151,10010,"Verse 8: 'These people draw near to me with their mouth, and honor me with their lips; but their heart is far from me.᛫Verse 8: This people draweth nigh unto me with their mouth, and honoureth me with their lips; but their heart is far from me."
151,10012,"Verse 9: And in vain do they worship me, teaching as doctrine rules made by men.'""᛫Verse 9: But in vain they do worship me, teaching for doctrines the commandments of men."
151,10013,"Verse 10: He summoned the multitude, and said to them, ""Hear, and understand.᛫Verse 10: And he called the multitude, and said unto them, Hear, and understand:"
151,10015,"Verse 11: That which enters into the mouth doesn't defile the man; but that which proceeds out of the mouth, this defiles the man.""᛫Verse 11: Not that which goeth into the mouth defileth a man; but that which cometh out of the mouth, this defileth a man."
151,10018,"Verse 12: Then the disciples came, and said to him, ""Do you know that the Pharisees were offended, when they heard this saying?""᛫Verse 12: Then came his disciples, and said unto him, Knowest thou that the Pharisees were offended, after they heard this saying?"
151,1002,"Verse 11: For if I have done wrong, and have committed anything worthy of death, I don't refuse to die; but if none of those things is true that they accuse me of, no one can give me up to them. I appeal to Caesar!""᛫Verse 11: For if I be an offender, or have committed any thing worthy of death, I refuse not to die: but if there be none of these things whereof these accuse me, no man may deliver me unto them. I appeal unto Caesar."
151,10020,"Verse 13: But he answered, ""Every plant which my heavenly Father didn't plant will be uprooted.᛫Verse 13: But he answered and said, Every plant, which my heavenly Father hath not planted, shall be rooted up."
151,10026,"Verse 14: Leave them alone. They are blind guides of the blind. If the blind guide the blind, both will fall into a pit.""᛫Verse 14: Let them alone: they be blind leaders of the blind. And if the blind lead the blind, both shall fall into the ditch."
151,10027,"Verse 15: Peter answered him, ""Explain the parable to us.""᛫Verse 15: Then answered Peter and said unto him, Declare unto us this parable."
151,10028,"Verse 16: So Jesus said, ""Do you also still not understand?᛫Verse 16: And Jesus said, Are ye also yet without understanding?"
151,1003,"Verse 12: Then Festus, when he had conferred with the council, answered, ""You have appealed to Caesar. To Caesar you shall go.""᛫Verse 12: Then Festus, when he had conferred with the council, answered, Hast thou appealed unto Caesar? unto Caesar shalt thou go."
151,10030,"Verse 17: Don't you understand that whatever goes into the mouth passes into the belly, and then out of the body?᛫Verse 17: Do not ye yet understand, that whatsoever entereth in at the mouth goeth into the belly, and is cast out into the draught?"
