sign_language,spoken_language,country_code,texts,sign_writing
gsg,de,de,Moment,AS2ff00S33b10S17117S22e02M524x542S2ff00476x458S33b10487x482S17117510x502S22e02494x525
gsg,de,de,Hexen,AS2ff00S2ff00S34a10S2f900S16d18S22a02S14c28S10e02S1f527M568x546S2ff00440x454S2ff00513x454S34a10453x476S2f900502x540S16d18506x518S22a02522x522S14c28433x513S10e02538x523S1f527459x524
gsg,de,de,Drag and Drop,AS2ff00S35d10S21700S10020S22b06S21c00S2f804M537x550S2ff00464x451S35d10477x471S21700477x487S10020479x495S22b06496x513S21c00531x512S2f804496x539
gsg,de,de,Kante,AS2ff00S35d14S26606S26612S18250S18258S20500S2fb04M555x566S2ff00482x435S35d14495x455S26606525x495S26612446x495S18250501x495S18258478x495S20500495x502S2fb04493x560
gsg,de,de,Apache,AS10e10S23704S30007S34c10M538x529S10e10498x472S23704499x505S30007462x494S34c10477x514
gsg,de,de,Zwergplanet,AS2ff00S2ff00S36110S22204S11551S11559S20500S20500S2a20aS2a212S2fb04S15320S22e06M561x561S2ff00439x440S2ff00512x440S36110449x461S22204450x496S11551529x481S11559502x481S20500524x494S20500524x525S2a20a540x505S2a212496x505S2fb04521x555S15320461x485S22e06475x510
gsg,de,de,lateral,AS15d44S2ff00S35c10S23604S21100S37800S37802S36d00M541x550S15d44479x488S2ff00503x451S35c10516x471S23604459x517S21100503x491S37800499x488S37802499x518S36d00499x486
gsg,de,de,Essigsäure,AS2ff00S30004S34710S15001S23107S1f521S2e732M548x542S2ff00452x458S30004501x458S34710463x480S15001520x478S23107515x499S1f521462x501S2e732461x526
gsg,de,de,Verfahren,AS2ff00S36520S10002S1000aS2f000S2f000S26600S26610S2fd04M537x556S2ff00483x445S36520496x467S10002495x496S1000a476x504S2f000506x514S2f000472x521S26600521x481S26610464x489S2fd04489x550
gsg,de,de,gasförmig,AS2ff00S35d14S23103S15a11M525x528S2ff00475x472S35d14488x492S23103498x508S15a11502x488
gsg,de,de,Elementarzelle,AS2ff00S2ff00S34710S1ec16S15a50S15a58S26606S26612S20500S2a508S2fb04M558x566S2ff00458x434S2ff00519x434S34710469x456S1ec16539x481S15a50476x479S15a58462x479S26606477x508S26612443x508S20500470x471S2a508537x506S2fb04468x560
gsg,de,de,Modalwert (Modus),AS15d39S2ff00S2ff00S33b10S2f900S20500S1ea0eS22f04S1f550S2a208M554x548S15d39508x504S2ff00447x452S2ff00505x452S33b10458x476S2f900508x528S20500511x497S1ea0e531x508S22f04529x534S1f550458x498S2a208463x515
gsg,de,de,Thiolgruppe,AS2ff00S2ff00S35d10S14c00S22b00S16d40S16d48S26602S26616S20500S2fb04M563x563S2ff00437x438S2ff00510x438S35d10450x458S14c00441x485S22b00465x495S16d40543x493S16d48499x492S26602533x520S26616494x520S20500524x499S2fb04520x557
gsg,de,de,herleiten,AS2ff00S34710S1ce20S28905S28915S1ce28S2fc04M536x546S2ff00500x455S34710511x477S1ce20488x470S28905504x502S28915477x502S1ce28464x469S2fc04510x535
gsg,de,de,Milchstraße,M500x500S2ff00407x495S14c38446x498S26601440x531S22620445x488S33b10418x520
gsg,de,de,Kreisausschnitt,AS2ff00S2ff00S35d14S2e90aS10e41S10e49S26501S26517S2fb04S22703S22705S10050M566x567S2ff00434x434S2ff00512x434S35d14447x454S2e90a437x475S10e41541x486S10e49495x485S26501533x508S26517513x507S2fb04522x561S22703548x478S22705496x478S10050458x489
gsg,de,de,Coulombsches Gesetz,AS2ff00S2ff00S35d14S16d10S15a28S27100S18210S20500S22a04S2f900S20500M557x539S2ff00443x461S2ff00521x461S35d14456x481S16d10461x500S15a28519x504S27100450x523S18210529x500S20500532x506S22a04544x518S2f900520x534S20500532x524
gsg,de,de,Abfrage,AS30004S34c10S26500S1ce01S20500M521x535S30004481x466S34c10496x487S26500492x520S1ce01479x494S20500511x494
gsg,de,de,Lebensdauer,AS2ff00S2ff00S35c10S1f512S20e00S1f51aS20e00S36d00S10002S1000aS2fd04S2ea3cS2ea00S22f00S22f10S2fc04M561x565S2ff00451x436S2ff00512x436S35c10464x456S1f512477x478S20e00478x495S1f51a446x478S20e00446x495S36d00448x472S10002531x483S1000a509x496S2fd04521x557S2ea3c510x513S2ea00545x501S22f00472x508S22f10440x509S2fc04462x554
gsg,de,de,Sonnensturm,AS2ff00S2ff00S36110S20300S26504S22200S20310S20318S2360aS2361aS2fd04S2e104S2e114M570x566S2ff00430x443S2ff00503x443S36110440x464S20300468x434S26504469x452S22200481x453S20310529x481S20318498x487S2360a553x487S2361a476x493S2fd04510x560S2e104527x498S2e114496x505
gsg,de,de,salisch,AS2ff00S36110S15d0aS15d02S2a20fS2a217M544x542S2ff00482x459S36110492x480S15d0a480x523S15d02494x515S2a20f521x506S2a217457x514
gsg,de,de,Schleim,AS22114S2ff00S34510S22114S22f06S22f12S2fb04S20500S16011S16019M541x555S22114515x494S2ff00482x445S34510489x465S22114460x494S22f06512x516S22f12474x516S2fb04492x549S20500495x482S16011501x494S16019476x494
gsg,de,de,Zytosin,AS2ff00S36110S2f900S10e09S16d10S20500S22a02M528x543S2ff00487x458S36110497x479S2f900473x538S10e09472x507S16d10511x502S20500499x513S22a02501x526
gsg,de,de,Strom,AS2ff00S34510S20500S2f900S10e12S15a18S22f02M528x547S2ff00473x454S34510480x474S20500491x509S2f900478x527S10e12498x505S15a18478x498S22f02513x522
gsg,de,de,Antiteilchen,AS2ff00S2ff00S34c10S1c520S1cf10S26500S2e300S2e200M553x551S2ff00447x449S2ff00496x449S34c10462x469S1c520455x487S1cf10510x488S26500466x517S2e300530x506S2e200511x519
gsg,de,de,Elektronenaffinität,AS2ff00S2ff00S34710S2e308S26503S26515S14c30S14c38S2fb04S22204S22204S14a20M556x565S2ff00444x436S2ff00505x436S34710455x458S2e308450x496S26503537x517S26515496x517S14c30532x484S14c38490x483S2fb04516x559S22204540x476S22204496x475S14a20454x478
gsg,de,de,Atomorbital,AS2ff00S2ff00S34c10S1cf10S2e508S16d20S16d28S2df06S2df1eS20500S20500S2fb04M545x563S2ff00456x438S2ff00505x438S34c10471x458S1cf10461x478S2e508463x510S16d20525x513S16d28504x513S2df06525x486S2df1e500x486S20500518x480S20500518x504S2fb04516x557
gsg,de,de,scannen,AS2ff00S36110S15a1aS1571eS2f900S20e00S26606S22104M533x545S2ff00479x455S36110489x476S15a1a481x501S1571e485x514S2f900468x507S20e00471x514S26606503x529S22104519x514
gsg,de,de,Schema,AS2ff00S34510S15020S15028S22b04S26500S26500S22b14S26510S26510S2fc04M531x561S2ff00482x439S34510489x459S15020506x471S15028469x471S22b04502x511S26500515x503S26500515x533S22b14483x511S26510472x533S26510472x503S2fc04492x550
gsg,de,de,Staubwolke,AS2ff00S2ff00S36110S15020S15028S29206S2921eS15d58S10051S2d203S20e00S2f900S2fb04M583x556S2ff00427x464S2ff00512x464S36110437x485S15020544x446S15028494x445S29206552x478S2921e479x477S15d58434x509S10051449x516S2d203453x534S20e00417x519S2f900432x538S2fb04524x550
gsg,de,de,Anus,AS2ff00S34c10S1ce31S22a04M518x553S2ff00482x447S34c10497x467S1ce31489x512S22a04502x538
gsg,de,de,Summand,AS2ff00S2ff00S36110S1001aS10010S26500S20500S1f016S2f900M545x555S2ff00460x446S2ff00509x446S36110470x467S1001a457x489S10010468x525S26500475x507S20500477x493S1f016525x488S2f900456x506
gsg,de,de,Blutdruck,AS2ff00S35010S36d00S3780aS16d10S20700S22504M532x539S2ff00493x461S35010505x484S36d00490x496S3780a475x497S16d10482x501S20700481x524S22504468x506
gsg,de,de,Hadal,AS2ff00S34c10S11502S15a18S37700S2f900S22b06S20500S22b02M529x552S2ff00493x448S34c10508x468S11502496x506S15a18482x471S37700487x498S2f900472x500S22b06496x522S20500488x502S22b02496x536
gsg,de,de,Webcam,AS30000S36520S26504S20500S15020M526x530S30000475x495S36520488x517S26504512x494S20500478x485S15020490x470
gsg,de,de,Beschichtung,AS2ff00S35010S15a56S1f120S2f900S26506M525x537S2ff00475x463S35010487x486S15a56477x518S1f120478x506S2f900477x532S26506510x506
gsg,de,de,Elementarladung,AS2ff00S2ff00S34710S1f117S23702S18510M543x550S2ff00458x450S2ff00507x450S34710469x472S1f117467x492S23702518x511S18510514x492
gsg,de,de,Zitterbewegung,AS2ff00S2ff00S36110S20310S20318S2e104S2e114S2fd04S1cf10S23602M546x562S2ff00454x438S2ff00503x438S36110464x459S20310526x476S20318505x482S2e104523x499S2e114499x504S2fd04512x556S1cf10460x478S23602465x510
gsg,de,de,"Planck, Max",AS2ff00S35010S1ed10S2c304S37a06M532x560S2ff00470x446S35010482x469S1ed10505x440S2c304505x461S37a06468x558
gsg,de,de,Million,AS2ff00S33b10S25600S14c50S22520M529x540S2ff00471x460S33b10482x484S25600513x488S14c50485x509S22520480x496
gsg,de,de,Nobelium (No),AS2ff00S2ff00S35d10S36d00S20500S11950S2e308S1cf10S26b04M563x544S2ff00446x457S2ff00507x457S35d10459x477S36d00443x494S20500438x509S11950444x500S2e308536x517S1cf10536x486S26b04470x504
gsg,de,de,Ösophagus,AS2ff00S30004S34410S36a10S1ea0fS26b04S22a04S1ed0eM548x546S2ff00512x455S30004453x455S34410466x476S36a10520x488S1ea0f461x486S26b04459x517S22a04525x531S1ed0e520x502
gsg,de,de,Smart Home,AS2ff00S30007S34410S36110S20500S18111S18119S20500S22100S22100S22a04S22a14S1c500S2df08M567x544S2ff00512x468S30007434x468S34410525x489S36110444x489S20500462x459S18111531x510S18119505x510S20500525x517S22100547x505S22100503x505S22a04554x529S22a14494x529S1c500466x457S2df08475x489
gsg,de,de,Americium (Am),AS2ff00S2ff00S34c10S1cf10S2e508S14c02S2e308M554x544S2ff00447x456S2ff00505x456S34c10462x476S1cf10527x486S2e508529x517S14c02458x495S2e308467x516
gsg,de,de,Pentacosan,AS2ff00S2ff00S35010S14c00S16d18S2f900S10002S22a02S2df08S1dc01S16d18S2f900S2f804M576x559S2ff00441x441S2ff00526x441S35010453x464S14c00448x495S16d18525x507S2f900521x531S10002546x515S22a02543x534S2df08475x528S1dc01473x497S16d18429x507S2f900425x531S2f804456x548
gsg,de,de,Biotop,AS2ff00S2ff00S35010S20500S2fb04S15a37S20500S2f900S1ce40S17610S17618S22210S22210S22f02S22f16M559x557S2ff00450x443S2ff00508x443S35010462x466S20500461x512S2fb04458x551S15a37514x496S20500519x503S2f900506x515S1ce40537x488S17610471x496S17618445x496S22210442x487S22210469x487S22f02474x514S22f16444x514
gsg,de,de,Jupiter,AS2ff00S35730S2034aS2f900S1cf10S20500S26503M530x544S2ff00470x457S35730478x479S2034a474x521S2f900476x539S1cf10503x491S20500490x523S26503491x508
gsg,de,de,Treibhauseffekt,AS2ff00S2ff00S35d10S14c50S14c58S29808S29810S2fb04S22a00S22100S22100S22a10S2fc04S17430S17438M566x563S2ff00445x438S2ff00518x438S35d10458x458S14c50465x516S14c58435x516S29808466x473S29810445x473S2fb04454x556S22a00548x474S22100537x479S22100523x479S22a10511x474S2fc04529x552S17430545x493S17438508x493
gsg,de,de,Dotriacontan,AS2ff00S2ff00S34410S16d18S2f804S2f900S2f900S16d18S22a02S10002S11e00S10e00S2df0cM574x558S2ff00434x442S2ff00519x442S34410447x463S16d18430x497S2f804452x547S2f900426x519S2f900508x519S16d18512x497S22a02528x501S10002544x507S11e00473x493S10e00452x493S2df0c470x525
gsg,de,de,Speicheldrüse,AS2ff00S30005S34510S10002S22b04S17630S22110S20500M553x537S2ff00509x464S30005448x464S34510455x484S10002471x489S22b04485x507S17630533x517S22110527x507S20500470x499
