sign_language,spoken_language,country_code,texts,sign_writing
ssr,fr,ch,Action - promotion 3,M559x530S11810544x471S11818441x475S22b03516x506S22b15459x506
ssr,fr,ch,Usb,M558x518S30007482x483S1ea11515x474S20500507x474S26502543x484
ssr,fr,ch,Mémoire 2,M543x517S30007482x482S1f551515x466S20600521x490
sgg,de,ch,Selfie,M570x518S32107482x483S16c01545x434
ssr,fr,ch,Pro infirmis,M521x520S19a28490x500S17750501x488S20600479x480
ssr,fr,ch,Hisser,M561x566S36d00479x434S15310522x443S20310521x504S22b04521x471S21600534x474S22b14504x497S20318505x530S15318506x467S21600495x508S22b04540x484S21600553x492S2fd00515x560
ssr,fr,ch,Shanghai,M518x521S19a09483x482S20500507x480S19a21496x493
ssr,fr,ch,Abstrait - abstraite,M573x518S30000482x483S15221494x460S15239480x455S18510548x466S18518426x468S28136521x469S28112449x471
ssr,fr,ch,Carambole,M539x524S1632a461x504S16342488x490S20700471x476S26502524x496
ssr,fr,ch,Baver,M550x555S33b00482x483S14c01498x528S17600504x506S22a04521x516S21100537x517
ssr,fr,ch,Toxicomanie,M553x595S20320512x548S20500501x552S37801520x563S26607531x532S36a00482x516S30005483x438S10110512x448S20500504x475
ssr,fr,ch,Ravager,M533x571S15d39469x548S15d51510x545S26802455x549S20e00486x532S30c00482x483
ssr,fr,ch,Église,M530x524S1a011502x487S1a019471x487S20600490x476S20600490x513
ssr,fr,ch,Fnac,M533x538S1dc20509x463S1dc28468x485S22a00518x501S22a14470x523
ssr,fr,ch,Chez,M524x524S1474a476x477S15a40480x497S2b700505x483S21100497x495
ssr,fr,ch,Opération,M542x541S2ff20476x483S30005482x483S1f520518x503S21100510x515S25504528x519
ssr,fr,ch,Pollution,M557x551S33200482x483S24103525x523S10e11499x499
ssr,fr,ch,Décourager,M531x636S17532510x558S1753a474x558S22a14476x586S22a04514x586S14c0c470x605S14c04508x604S30e00482x483S36d00479x528
ssr,fr,ch,Fondre,M572x514S17c10504x488S17c18484x487S18510547x497S18518429x497S26506531x500S26512461x499
ssr,fr,ch,Franchise,M520x539S15d51483x516S15d59481x462S22b00488x486S21414505x476S20500506x487
ssr,fr,ch,Ventre,M522x530S15d02493x500S36d00479x470S36d00480x526S20600467x508
ssr,fr,ch,Redémarrer 2,M528x514S1ea52473x491S2c300502x487
ssr,fr,ch,Être couvert,M560x518S2ff00482x483S18131505x473S18149473x472S20500496x467S26602530x474S26616442x475
ssr,fr,ch,Galette,M542x522S1ed40515x479S1ed48462x479S22f04517x508S22f14458x506
ssr,fr,ch,Vingt,M515x525S1e420500x474S22104485x477S1f420486x510
ssr,fr,ch,Fabriquer 1,M538x539S20342494x483S2034a493x501S20600469x490S37803508x491S3780b463x509S2ea3c476x462
ssr,fr,ch,Se rappeler,M538x585S30007482x482S1f551517x542S20500508x472S1f502519x484S1f539514x564S20500500x558S22b04513x513
ssr,fr,ch,Vivre,M548x586S30a00482x482S36d00479x524S10e39455x555S10e31523x553S2fb04495x580S22a00509x536S22a10480x536S20e00508x557S20e00483x557
ssr,fr,ch,Journée,M528x552S15d0a488x518S15d00507x525S28802492x467S22c00501x478S22c04483x478S18050487x448S20e00516x515S20e00473x496
ssr,fr,ch,Ça me touche,M521x517S36d00479x484S1c501491x492S20500479x506S26c08463x490
ssr,fr,ch,Fanta,M518x540S33100482x483S17d10485x525S22114459x515
ssr,fr,ch,Stade,M553x540S2d61e447x490S14c52503x512S14c5a471x511S2d606531x489S20500495x460S20500497x529S17800507x469S17808469x468
ssr,fr,ch,Génétique,M521x524S10e09496x477S10e01479x476S20600490x513
ssr,fr,ch,Acteur - actrice,M523x536S15d48478x495S14010494x498S20500491x525S2eb20496x464
ssr,fr,ch,Parcours,M523x539S21100510x507S15d38478x499S15d40491x512S2dc06491x461
ssr,fr,ch,Appliquer,M540x527S17d10517x512S17d18461x512S26600524x474S26610463x474S22104513x497S22104514x487S22104480x496S22104479x486S22104480x473S22104513x474
ssr,fr,ch,Petite voiture,M558x587S1ec01513x431S1ec09463x456S23603529x413S23611443x440S2fb00501x478S17e51518x567S2dc0d488x541
ssr,fr,ch,Brume,M560x525S14c51509x499S14c59464x496S2ec06508x475S2ec1e456x475S22620534x493S22620441x492
ssr,fr,ch,Pac-man,M542x519S16c10522x490S26502501x494S26502480x494S26502458x494S22104498x482S22100498x511S22104480x482S22104459x481S22100478x512S22100458x512
ssr,fr,ch,Concurrence,M568x512S1f520501x495S1f528476x491S23600529x489S23614433x495
ssr,fr,ch,Chine,M534x526S36d00479x474S10b01474x494S23d04494x492S21100521x497
